qid,question,answer,gold,token_f1,pid,grade,subject,chapter,char_start,char_end,confidence,supported,veto_reason,evidence_verbatim,config_hash,seed
bn_wiki_2280_02,কিশোর অ্যানাকিন স্কাইওয়াকারের সাথে জিনের পরিচয় ঘটে কীভাবে?,(অস্বীকার / abstained),,0.0,bn_wiki_2280,,,,371,395,0.3975,False,,পথিমধ্যে কিশোর অ্যানাকিন স্কাইওয়াকারের সাথে তাঁর পরিচয় ঘটে।,773e1b820203,1337
bn_wiki_2366_05,প্রথমদিকে এর সময় কাল কী প্রতিষ্ঠিত করা হয়েছে খ্রিস্টপূর্ব 200-250 অব্দ পর্যন্ত?,(অস্বীকার / abstained),,0.0,bn_wiki_2365,,,,244,247,0.1417,False,,প্রথমদিকে এর সময় কাল প্রতিষ্ঠিত করা হয়েছে খ্রিস্টপূর্ব 200-250 অব্দ পর্যন্ত।,773e1b820203,1337
bn_wiki_2916_01,বাংলাদেশের অনলাইন কেনাকাটা অনেক সহজ হয়েছে কেন?,(অস্বীকার / abstained),ই-কমার্স প্রোটোকলের জন্য | ই-কমার্স প্রোটোকলের জন্য,0.0,bn_wiki_2916,,,,59,91,0.4006,False,,বাংলাদেশে অনলাইন কেনাকাটা একটি নতুন অভিপ্রায় এবং বাংলাদেশ সরকার কর্তৃক ই-কমার্স প্রোটোকলের জন্য বাংলাদেশের অনলাইন কেনাকাটা অনেক সহজ হয়েছে এবং এখন বাংলাদেশে অনলাইন কেনাকাটা অনেক জনপ্রিয় হয়ে উঠেছে।,773e1b820203,1337
bn_wiki_1417_05,"পারিবারিক ইতিহাস গবেষণায় দেখা গেছে কি যে পারিবারিক ব্যবস্থাগুলি নমনীয়, সাংস্কৃতিকভাবে বৈচিত্র্যময় এবং বাস্তুসংস্থান এবং অর্থনৈতিক অবস্থার সাথে অভিযোজিত?",(অস্বীকার / abstained),,0.0,bn_wiki_1417,,,,481,487,0.218,False,,"পারিবারিক ইতিহাস গবেষণায় দেখা গেছে যে পারিবারিক ব্যবস্থাগুলি নমনীয়, সাংস্কৃতিকভাবে বৈচিত্র্যময় এবং বাস্তুসংস্থান এবং অর্থনৈতিক অবস্থার সাথে অভিযোজিত।",773e1b820203,1337
bn_wiki_0291_04,কত সালে মিয়ানমার বাংলাদেশের সীমান্তে সৈন্য সমাবেশ করেছিল?,(অস্বীকার / abstained),2009 | 2009,0.0,bn_wiki_0291,,,,1711,1715,0.396,False,,"সিভিল অ্যাভিয়েশন সূত্রে জানা যায়, 2009 সালে মিয়ানমার বাংলাদেশের সীমান্তে সৈন্য সমাবেশ করেছিল।",773e1b820203,1337
bn_wiki_0899_04,পোল্যান্ড কত সালে সের্নে যোগদান করে?,(অস্বীকার / abstained),,0.0,bn_wiki_0898,,,,1156,1157,0.0003,False,"সংখ্যা ভুল — বইয়ে ৬, উত্তরে ২","সের্নের গবেষণাগারে 2019 সালে 2 হাজার 6 শতেরও বেশি বিজ্ঞানী, কারিগর ও প্রশাসনিক কর্মচারী কর্মরত ছিলেন।",773e1b820203,1337
bn_wiki_0091_01,আলকেমি শব্দটি কোন ভাষার শব্দ?,(অস্বীকার / abstained),আরবি | আরবি,0.0,bn_wiki_0091,,,,43,60,0.0318,False,,ইসলামে আলকেমি এবং রসায়ন মধ্যযুগীয় মুসলিম বিশ্বের পণ্ডিতদের দ্বারা প্রচলিত আলকেমি এবং প্রাথমিক যুগের ব্যবহারিক রসায়ন (সাধারণভাবে প্রকৃতির প্রাথমিক রাসায়নিক পরীক্ষা-নিরীক্ষা ও পর্যবেক্ষণ) উভয় শাস্ত্রকেই সম্মিলিতভাবে বুঝায়।আলকেমি শব্দটি আরবি শব্দ 'কিমিয়া' থেকে উদ্ভূত।,773e1b820203,1337
bn_wiki_1568_02,নেরুদা সান্তিয়াগোতে চিলি বিশ্ববিদ্যালয়ে কোন বিষয়ে পড়তে যান?,(অস্বীকার / abstained),ফরাসি | ফরাসি,0.0,bn_wiki_1568,,,,10,12,0.09,False,,1921 সালে 16 বছর বয়সে নেরুদা শিক্ষক হওয়ার অভিপ্রায়ে সান্তিয়াগোতে চিলি বিশ্ববিদ্যালয়ে ফরাসি পড়তে যান।,773e1b820203,1337
bn_wiki_0814_01,লর্ড বায়রনের কন্যা কে ছিলেন?,(অস্বীকার / abstained),অ্যাডা লাভলেস | অ্যাডা লাভলেস,0.0,wiki_2625_0,,,,329,347,0.0704,False,,তার জন্ম হয় লন্ডনের সম্ভ্রান্ত পরিবারে কবি লর্ড বায়রনের কন্যা এবং একমাত্র সন্তান হিসেবে।,773e1b820203,1337
bn_wiki_2467_02,কোন কোন উপকূলে ব্যাপক গবেষণা চালানো হয়?,(অস্বীকার / abstained),ভূমধ্যসাগর; তুরস্কের এজিয়ান উপকূলে | ভূমধ্যসাগর; তুরস্কের এজিয়ান উপকূলে,0.0,bn_wiki_2467,,,,474,490,0.2017,False,,ভূমধ্যসাগর এবং তুরস্কের এজিয়ান উপকূলে ব্যাপক গবেষণা চালানো হয়।,773e1b820203,1337
