qid,question,original_answer,original_confidence,pid,perturbed_to,counterfactual_answer,counterfactual_confidence,followed_corpus,removal_answer,abstained_on_removal,config_hash,seed
bn_wiki_0932_02,প্রথম ডিভিডি-ভিত্তিক নেভিগেশন সিস্টেম কত সালে চালু হয়েছিল?,1998,0.5574,bn_wiki_0932,1890,,0.4631,False,,True,773e1b820203,1337
bn_wiki_0951_01,আইবিএমের বিশেষ এপিএল মেশিন পোর্টেবল (এসসিএএমপি) কম্পিউটারটি দেখানো হয় কত সালে?,1973,0.8227,bn_wiki_0951,930,930,0.6727,True,,True,773e1b820203,1337
bn_wiki_2195_03,কত খ্রিষ্টাব্দে এটার পুনরায় নিমার্ণ করা হয়?,1980,0.6008,bn_wiki_1711,1805,,0.4294,False,1980,False,773e1b820203,1337
bn_wiki_2481_03,কত সালে থিওফিলোস ব্যক্তিগতভাবে ফোরাত নদী অঞ্চলে একটি বড় অভিযানে নেতৃত্ব দেন?,837,0.8014,bn_wiki_2481,3705,3705,0.8013,True,,True,773e1b820203,1337
bn_wiki_1378_03,কত সালে আন্তঃবর্ণ বিবাহ প্রথম উদযাপিত হয়েছিল?,1925,0.645,bn_wiki_1378,1843,1843,0.6613,True,,True,773e1b820203,1337
bn_wiki_1875_02,বলকারক ঔষধ তৈরিতে ব্ল্যাকবেরির ব্যবহার লন্ডন ফার্মাকোপিয়াতে কত সালে নথিভুক্ত ছিল?,1696,0.7,bn_wiki_1875,1859,1859,0.7,True,,True,773e1b820203,1337
bn_wiki_0568_01,ভিডিও গেমগুলো কত সাল থেকে বেশিরভাগ স্বতন্ত্রভাবে বিকশিত হয়েছে?,2002,0.6854,bn_wiki_0568,2003,2003,0.6854,True,,True,773e1b820203,1337
bn_wiki_0568_02,কত সাল থেকে কয়েকটি আইটি সংস্থা বাণিজ্যিকভাবে ভিডিও গেমগুলি বিকাশ করা শুরু করেছে?,2014,0.7206,bn_wiki_0568,1331,1331,0.6843,True,,True,773e1b820203,1337
bn_wiki_1268_01,বোম্বে সুইটস কত সালে প্রতিষ্ঠিত হয়?,1948,0.5115,bn_wiki_1268,222,1948,0.52,False,,True,773e1b820203,1337
bn_wiki_2989_01,কত সালে পলাশীর জঙ্গে নবাব সিরাজউদ্দৌলার পরাজয়ের ফলে শাসন ক্ষমতা যে বিলাতীদের হাতে চলে গিয়েছিল?,1757,0.6723,bn_wiki_2989,46,,0.4287,False,,True,773e1b820203,1337
bn_wiki_2989_05,কত সালে লর্ড কর্নওয়ালিস প্রবর্তিত চিরস্থায়ী বন্দোবস্তের কুফল ছিলো চাষীদের নিকট ভয়ংকর?,1793,0.9028,bn_wiki_2989,1567,1567,0.8832,True,,True,773e1b820203,1337
bn_wiki_2992_04,কত সালে কাবাডি নামে একটি জনপ্রিয় দলগত খেলা বাংলাদেশের জাতীয় খেলায় পরিণত হয়?,1972,0.9407,bn_wiki_2992,1630,1630,0.9281,True,,True,773e1b820203,1337
bn_wiki_2992_05,কত সালে বাংলাদেশ অ্যামেচার কাবাডি ফেডারেশন গঠিত হয়?,1973,0.7882,bn_wiki_2992,1907,1907,0.7578,True,,True,773e1b820203,1337
bn_wiki_1218_03,কত সাালে পাকিস্তান সেন্ট্রাল জুট কমিটি গঠিত হয়?,1951,0.7263,bn_wiki_1218,3,,0.4126,False,,True,773e1b820203,1337
bn_wiki_0524_02,কত সা্লে গ্যালিলিও গ্যালিলি দূরবর্তী তারা পর্যবেক্ষণের জন্য একটি দুরবিন তৈরি করেন?,1609,0.8656,bn_wiki_0524,1602,1602,0.8186,True,,True,773e1b820203,1337
