feature,weight,abs_weight,rank,model,config_hash,seed
cos_q_span,-1.9659066331606532,1.9659066331606532,1,reader-logreg,325b04a5ded2,1337
sent_idf_overlap,1.8390761914506266,1.8390761914506266,2,reader-logreg,325b04a5ded2,1337
class_is_number,-1.6756061307310044,1.6756061307310044,3,reader-logreg,325b04a5ded2,1337
cos_q_sentence,1.5673418123453433,1.5673418123453433,4,reader-logreg,325b04a5ded2,1337
passage_rank_inv,1.3338287398274238,1.3338287398274238,5,reader-logreg,325b04a5ded2,1337
min_dist_to_match,1.1599759188092063,1.1599759188092063,6,reader-logreg,325b04a5ded2,1337
span_in_question,-1.1396215969715553,1.1396215969715553,7,reader-logreg,325b04a5ded2,1337
span_chars,-1.1108488082908403,1.1108488082908403,8,reader-logreg,325b04a5ded2,1337
class_is_time,-1.0968257219828619,1.0968257219828619,9,reader-logreg,325b04a5ded2,1337
span_pos_frac,-1.0766995137172737,1.0766995137172737,10,reader-logreg,325b04a5ded2,1337
span_idf_mean,-0.8539131236464899,0.8539131236464899,11,reader-logreg,325b04a5ded2,1337
is_year,-0.8409595602286178,0.8409595602286178,12,reader-logreg,325b04a5ded2,1337
in_parentheses,-0.8165346238701932,0.8165346238701932,13,reader-logreg,325b04a5ded2,1337
span_tokens,-0.7649150191627958,0.7649150191627958,14,reader-logreg,325b04a5ded2,1337
stopword_frac,-0.7317250400710931,0.7317250400710931,15,reader-logreg,325b04a5ded2,1337
is_unit_bearing,-0.6960165915261289,0.6960165915261289,16,reader-logreg,325b04a5ded2,1337
class_is_person,-0.6427458881118321,0.6427458881118321,17,reader-logreg,325b04a5ded2,1337
relation_order_flag,0.6315598069333984,0.6315598069333984,18,reader-logreg,325b04a5ded2,1337
type_prior_len,0.5568769251514661,0.5568769251514661,19,reader-logreg,325b04a5ded2,1337
sent_overlap_frac,-0.5424935120840086,0.5424935120840086,20,reader-logreg,325b04a5ded2,1337
span_idf_max,0.5174155787725733,0.5174155787725733,21,reader-logreg,325b04a5ded2,1337
passage_score,-0.3593588481614367,0.3593588481614367,22,reader-logreg,325b04a5ded2,1337
has_digit,0.34946932246095497,0.34946932246095497,23,reader-logreg,325b04a5ded2,1337
q_content_matched_frac,-0.2592864577610887,0.2592864577610887,24,reader-logreg,325b04a5ded2,1337
is_numeral,0.09394395002408008,0.09394395002408008,25,reader-logreg,325b04a5ded2,1337
has_latin,0.07657850428505059,0.07657850428505059,26,reader-logreg,325b04a5ded2,1337
sentence_rank_inv,-0.0016854197345911558,0.0016854197345911558,27,reader-logreg,325b04a5ded2,1337
class_match,0.0,0.0,28,reader-logreg,325b04a5ded2,1337
class_is_place,0.0,0.0,29,reader-logreg,325b04a5ded2,1337
class_is_clause,0.0,0.0,30,reader-logreg,325b04a5ded2,1337
